id,name,brand,cost,unit,created_at,updated_at
1,Rice (Paddy & Milled),GoldenHarvest,12.3,kg,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
2,Rice (Paddy & Milled),PureGrain,9.7,kg,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
3,Rice (Paddy & Milled),SunFields,14.8,kg,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
4,Wheat,FarmGold,8.5,kg,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
5,Wheat,GrainWorks,10.2,kg,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
6,Wheat,PrairieChoice,7.9,kg,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
7,Sugar (Raw & Refined),SweetVale,5.3,kg,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
8,Sugar (Raw & Refined),CaneBloom,6.9,kg,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
9,Sugar (Raw & Refined),SugarHaven,4.8,kg,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
10,Palm Oil,OliveCrest,14.0,L,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
11,Palm Oil,SunPress,12.1,L,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
12,Palm Oil,NutriGold,10.9,L,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
13,Coconut Oil,CocoPure,13.2,L,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
14,Coconut Oil,TropiOil,11.8,L,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
15,Coconut Oil,NutriCoco,10.5,L,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
16,Coffee Beans,BeanCrafters,7.5,500g,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
17,Coffee Beans,MorningRoast,8.1,500g,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
18,Coffee Beans,JavaNest,9.2,500g,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
19,Cocoa Beans,ChocoVale,9.6,500g,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
20,Cocoa Beans,SweetNest,10.4,500g,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
21,Cocoa Beans,CocoaBloom,8.9,500g,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
22,Fresh Bananas,BananaJoy,6.1,kg,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
23,Fresh Bananas,TropiBan,5.7,kg,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
24,Fresh Bananas,SunnyBan,6.5,kg,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
25,Fresh Pineapples,PineSweet,7.3,kg,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
26,Fresh Pineapples,TropiPine,6.9,kg,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
27,Fresh Pineapples,PineGold,7.5,kg,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
28,Fresh or Dried Chillies,SpiceKing,4.5,500g,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
29,Fresh or Dried Chillies,HotFlame,5.0,500g,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
30,Fresh or Dried Chillies,RedPepper,4.8,500g,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
